embed_dim,gamma,lamda,steps,use_nmf,mse,rmse
32,0.001,0.01,10,False,17.976222813003048,4.23983759276261
32,0.001,0.01,10,True,19.777049223369037,4.447139442761946
32,0.001,0.01,20,False,19.163453439235905,4.3776081870395736
32,0.001,0.01,20,True,19.79533158185431,4.449194486854257
32,0.001,0.01,50,False,19.940484791442866,4.46547699483973
32,0.001,0.01,50,True,22.76345641471717,4.771106414105345
32,0.001,0.1,10,False,19.261990396121003,4.388848413436149
32,0.001,0.1,10,True,16.219542281491226,4.0273492872472865
32,0.001,0.1,20,False,18.847238963985713,4.341340687389751
32,0.001,0.1,20,True,15.704253650849324,3.9628592771948545
32,0.001,0.1,50,False,18.348904499106627,4.28356212737794
32,0.001,0.1,50,True,16.66419868348974,4.082180628474166
32,0.001,1.0,10,False,12.9045032032197,3.5922838422401564
32,0.001,1.0,10,True,13.675914337309576,3.6980960421965214
32,0.001,1.0,20,False,13.416437004574986,3.662845479210799
32,0.001,1.0,20,True,10.131116235225933,3.1829414438889594
32,0.001,1.0,50,False,8.98654620895079,2.997756862881109
32,0.001,1.0,50,True,9.137201918040075,3.0227804945182633
32,0.01,0.01,10,False,22.39963886616083,4.732825674600833
32,0.01,0.01,10,True,21.002248215280037,4.58282098878846
32,0.01,0.01,20,False,23.624196653732405,4.860472883756518
32,0.01,0.01,20,True,21.02530576361355,4.58533594882791
32,0.01,0.01,50,False,20.279881646604814,4.503318959012876
32,0.01,0.01,50,True,22.333094820863053,4.725790391126447
32,0.01,0.1,10,False,15.666063390342861,3.95803782073174
32,0.01,0.1,10,True,17.84145760053853,4.223914961328948
32,0.01,0.1,20,False,14.490010664647567,3.806574662954553
32,0.01,0.1,20,True,14.684756226929451,3.8320694444294
32,0.01,0.1,50,False,10.16194558462768,3.1877806675848452
32,0.01,0.1,50,True,11.614941408414259,3.4080700415945473
32,0.01,1.0,10,False,7.048912988126542,2.654978905401424
32,0.01,1.0,10,True,7.817493746356044,2.7959781376749078
32,0.01,1.0,20,False,5.948301551590029,2.4389140107002603
32,0.01,1.0,20,True,6.088633565562576,2.467515666730928
32,0.01,1.0,50,False,5.6498227691052305,2.3769355837096704
32,0.01,1.0,50,True,6.189784399321699,2.487927731933084
32,0.1,0.01,10,False,,
32,0.1,0.01,10,True,,
32,0.1,0.01,20,False,,
32,0.1,0.01,20,True,,
32,0.1,0.01,50,False,,
32,0.1,0.01,50,True,,
32,0.1,0.1,10,False,,
32,0.1,0.1,10,True,,
32,0.1,0.1,20,False,,
32,0.1,0.1,20,True,,
32,0.1,0.1,50,False,,
32,0.1,0.1,50,True,,
32,0.1,1.0,10,False,6.821490443131814,2.6117983159370888
32,0.1,1.0,10,True,6.491233782533203,2.547789980067667
32,0.1,1.0,20,False,6.0695939680205955,2.463654595924639
32,0.1,1.0,20,True,5.143731873947753,2.267979689932816
32,0.1,1.0,50,False,5.610192164491723,2.368584422074021
32,0.1,1.0,50,True,6.598299344882052,2.568715504854917
64,0.001,0.01,10,False,117.26059630564923,10.82869319473265
64,0.001,0.01,10,True,119.0696801537264,10.911905431854072
64,0.001,0.01,20,False,128.65206412172253,11.342489326498065
64,0.001,0.01,20,True,124.88378519945346,11.17514139505418
64,0.001,0.01,50,False,132.12966232671718,11.494766736507408
64,0.001,0.01,50,True,131.314773433195,11.459265833080014
64,0.001,0.1,10,False,115.39600642206453,10.74225332144353
64,0.001,0.1,10,True,117.29505040090764,10.830283948304755
64,0.001,0.1,20,False,106.35304474266657,10.312761256941158
64,0.001,0.1,20,True,114.26485741791039,10.689474141318197
64,0.001,0.1,50,False,104.68555432483156,10.231595883577086
64,0.001,0.1,50,True,112.11155470724647,10.588274397051036
64,0.001,1.0,10,False,86.43050482598386,9.29680078446257
64,0.001,1.0,10,True,86.75045801644859,9.313992592677353
64,0.001,1.0,20,False,69.34143627491653,8.327150549552742
64,0.001,1.0,20,True,68.7778186418772,8.293239333449698
64,0.001,1.0,50,False,54.04001319649408,7.351191277370905
64,0.001,1.0,50,True,49.520654443896554,7.037091334059588
64,0.01,0.01,10,False,137.06662944172308,11.707545833423975
64,0.01,0.01,10,True,128.7703055322806,11.34770045129323
64,0.01,0.01,20,False,130.66169137289225,11.430734507147484
64,0.01,0.01,20,True,125.88608600144076,11.219896880160743
64,0.01,0.01,50,False,122.91868763625602,11.086870055892962
64,0.01,0.01,50,True,122.66368177436378,11.075363731018669
64,0.01,0.1,10,False,99.43495642161648,9.971707798647957
64,0.01,0.1,10,True,100.93316619548914,10.04654996481325
64,0.01,0.1,20,False,88.79975571665022,9.423362229939494
64,0.01,0.1,20,True,86.69446261526046,9.310986124748574
64,0.01,0.1,50,False,53.19037448010478,7.293173142062704
64,0.01,0.1,50,True,59.32356907443986,7.702179501572257
64,0.01,1.0,10,False,45.142506267883064,6.718817326574898
64,0.01,1.0,10,True,45.12368193524601,6.717416313974146
64,0.01,1.0,20,False,36.08984779899813,6.007482650744664
64,0.01,1.0,20,True,36.97276412787294,6.080523343255328
64,0.01,1.0,50,False,28.26895975596688,5.316856191018042
64,0.01,1.0,50,True,32.688792109123504,5.71741131187214
64,0.1,0.01,10,False,,
64,0.1,0.01,10,True,,
